Date,WTI,NatGas
6/10/2021,70.23,3.146
6/9/2021,69.96,3.129
6/8/2021,70.05,3.128
6/7/2021,69.23,3.07
6/4/2021,69.62,3.097
6/3/2021,68.81,3.041
6/2/2021,68.83,3.075
6/1/2021,67.72,3.104
5/31/2021,66.32,2.986
5/28/2021,66.32,2.986
5/27/2021,66.85,2.958
5/26/2021,66.21,2.984
5/25/2021,66.07,2.913
5/24/2021,66.05,2.886
5/21/2021,63.58,2.906
5/20/2021,62.05,2.925
5/19/2021,63.36,2.964
5/18/2021,65.49,3.012
5/17/2021,66.27,3.109
5/14/2021,65.37,2.961
5/13/2021,63.82,2.973
5/12/2021,66.08,2.969
5/11/2021,65.28,2.955
5/10/2021,64.92,2.932
5/7/2021,64.9,2.958
5/6/2021,64.71,2.928
5/5/2021,65.63,2.938
5/4/2021,65.69,2.967
5/3/2021,64.49,2.966
4/30/2021,63.58,2.931
4/29/2021,65.01,2.911
4/28/2021,63.86,2.925
4/27/2021,62.94,2.873
4/26/2021,61.91,2.79
4/23/2021,62.14,2.73
4/22/2021,61.43,2.749
4/21/2021,61.35,2.692
4/20/2021,62.44,2.727
4/19/2021,63.38,2.749
4/16/2021,63.13,2.68
4/15/2021,63.46,2.658
4/14/2021,63.15,2.618
4/13/2021,60.18,2.619
4/12/2021,59.7,2.561
4/9/2021,59.32,2.526
4/8/2021,59.6,2.522
4/7/2021,59.77,2.52
4/6/2021,59.33,2.456
4/5/2021,58.65,2.511
4/2/2021,61.45,2.639
4/1/2021,61.45,2.639
3/31/2021,59.16,2.608
3/30/2021,60.55,2.623
3/29/2021,61.56,2.586
3/26/2021,60.97,2.557
3/25/2021,58.56,2.57
3/24/2021,61.18,2.518
3/23/2021,57.76,2.508
3/22/2021,61.55,2.582
3/19/2021,61.42,2.535
3/18/2021,60,2.481
3/17/2021,64.6,2.528
3/16/2021,64.8,2.562
3/15/2021,65.39,2.484
3/12/2021,65.61,2.6
3/11/2021,66.02,2.668
3/10/2021,64.44,2.692
3/9/2021,64.01,2.662
3/8/2021,65.05,2.664
3/5/2021,66.09,2.701
3/4/2021,63.83,2.746
3/3/2021,61.28,2.816
3/2/2021,59.75,2.839
3/1/2021,60.64,2.777
2/26/2021,61.5,2.771
2/25/2021,63.53,2.777
2/24/2021,63.22,2.854
2/23/2021,61.67,2.879
2/22/2021,61.49,2.953
2/19/2021,59.24,3.069
2/18/2021,60.52,3.082
2/17/2021,61.14,3.219
2/16/2021,60.05,3.129
2/15/2021,59.47,2.912
2/12/2021,59.47,2.912
2/11/2021,58.24,2.868
2/10/2021,58.68,2.911
2/9/2021,58.36,2.835
2/8/2021,57.97,2.882
2/5/2021,56.85,2.863
2/4/2021,56.23,2.935
2/3/2021,55.69,2.789
2/2/2021,54.76,2.845
2/1/2021,53.55,2.85
1/29/2021,52.2,2.564
1/28/2021,52.34,2.664
1/27/2021,52.85,2.76
1/26/2021,52.61,2.66
1/25/2021,52.77,2.6
1/22/2021,52.27,2.45
1/21/2021,53.13,2.49
1/20/2021,53.24,2.54
1/19/2021,52.98,2.55
1/18/2021,52.36,2.74
1/15/2021,52.36,2.74
1/14/2021,53.57,2.67
1/13/2021,52.91,2.73
1/12/2021,53.21,2.75
1/11/2021,52.25,2.75
1/8/2021,52.24,2.7
1/7/2021,50.83,2.73
1/6/2021,50.63,2.72
